"","School","W","L","RPI","SOS Rank","SOS","url.name","ngames","LRMC.score"
"145","Loyola Marymount",16,21,"0.4703","111","0.5262","loyola-marymount",32,0.00262152144991837
"105","Norfolk State",4,2,"0.4982","330","0.4225","norfolk-state",32,0.00261919872253016
"143","Georgia State",20,15,"0.4713","225","0.4735","georgia-state",30,0.0026136033659093
"168","California Davis",20,16,"0.4589","276","0.4574","california-davis",31,0.00260791495752299
"144","Hawaii",22,13,"0.4705","234","0.4711","hawaii",31,0.00259944061474669
"169","Morgan State",23,14,"0.4571","337","0.4150","morgan-state",32,0.00259491098724351
"123","Charleston Southern",22,3,"0.4870","301","0.4483","charleston-southern",29,0.00259404008939714
"158","South Carolina Upstate",20,16,"0.4648","278","0.4567","south-carolina-upstate",31,0.00259268971396211
"110","Elon",2,2,"0.4951","311","0.4435","elon",31,0.0025850371796425
"136","Missouri State",31,21,"0.4758","81","0.5443","missouri-state",31,0.00257206016790304
"202","Cal State Fullerton",18,17,"0.4414","305","0.4444","cal-state-fullerton",30,0.00255757162379258
"155","Louisiana-Lafayette",18,19,"0.4656","145","0.5011","louisiana-lafayette",32,0.00255568256596668
"601","Wagner",2,3,"0.5211","203","0.4800","wagner",31,0.00255212644863633
"541","Mount St. Mary's",1,13,"0.5241","179","0.4880","mount-st-marys",32,0.00254219030243046
"125","Quinnipiac",21,15,"0.4856","183","0.4865","quinnipiac",31,0.00251544868064051
"113","Southern",3,11,"0.4944","345","0.4020","southern",29,0.00251332364312852
"149","NC-Asheville",19,15,"0.4676","244","0.4680","north-carolina-asheville",29,0.00249653591621283
"208","Bowling Green",17,18,"0.4386","201","0.4803","bowling-green-state",30,0.00248985928989058
"134","Rhode Island",30,20,"0.4783","61","0.5538","rhode-island",29,0.00248822362385554
"129","Idaho",17,17,"0.4828","130","0.5145","idaho",29,0.00248579474255949
"107","Morehead State",19,17,"0.4977","126","0.5207","morehead-state",31,0.00247752212863887
"89","North Carolina Central",2,11,"0.5101","306","0.4439","north-carolina-central",28,0.00247519129567789
"142","Marshall",18,18,"0.4728","127","0.5202","marshall",31,0.00246883921673622
"85","Oakland",20,15,"0.5105","138","0.5033","oakland",29,0.00245256709706353
"551","Western Illinois",3,10,"0.5232","291","0.4528","western-illinois",27,0.0024366248110089
"87","South Alabama",22,3,"0.5103","188","0.4855","south-alabama",29,0.00243619501802322
"206","Texas State-San Marcos",17,21,"0.4397","224","0.4739","texas-state",33,0.00243381956629648
"131","Yale",18,16,"0.4792","174","0.4890","yale",29,0.00243218495041396
"120","Hartford",23,4,"0.4896","268","0.4592","hartford",31,0.00242902774140347
"104","Arkansas-Little Rock",22,14,"0.4986","154","0.4967","arkansas-little-rock",31,0.00242837032235924
"178","Western Carolina",18,18,"0.4518","249","0.4644","western-carolina",31,0.00242797174988882
"157","Sam Houston State",20,16,"0.4649","259","0.4611","sam-houston-state",31,0.00241456445983418
"194","Texas-San Antonio",16,21,"0.4439","196","0.4822","texas-san-antonio",32,0.00240878454458808
"148","Southeast Missouri State",21,15,"0.4677","282","0.4558","southeast-missouri-state",30,0.00240871609842245
"152","Florida Atlantic",19,17,"0.4667","200","0.4809","florida-atlantic",31,0.00240848962038041
"127","Toledo",21,4,"0.4845","271","0.4581","toledo",28,0.00240799047675332
"165","Mississippi State",16,21,"0.4618","114","0.5253","mississippi-state",32,0.0023980396664375
"183","Wofford",18,18,"0.4496","255","0.4617","wofford",31,0.00238843935169978
"174","Northridge",18,16,"0.4556","261","0.4608","cal-state-northridge",29,0.00238721086252951
"196","Marist",16,20,"0.4437","181","0.4876","marist",31,0.00238602858756523
"172","TCU",16,20,"0.4560","124","0.5217","tcu",31,0.0023822912102061
"204","William & Mary",18,16,"0.4413","309","0.4437","william-mary",29,0.00238061674658311
"150","Texas Tech",17,19,"0.4676","98","0.5339","texas-tech",31,0.00237304984240841
"179","Santa Barbara",31,19,"0.4517","151","0.4983","california-santa-barbara",29,0.00236336959865288
"213","Pennsylvania",31,21,"0.4352","203","0.4800","pennsylvania",31,0.00236091498409518
"185","Holy Cross",18,17,"0.4495","261","0.4608","holy-cross",30,0.00235734657449486
"184","High Point",21,4,"0.4496","333","0.4202","high-point",29,0.00235612218773245
"140","St. Francis (N.Y.)",18,17,"0.4732","178","0.4881","st-francis-ny",30,0.00234972518653178
"146","Pepperdine",17,17,"0.4700","160","0.4948","pepperdine",29,0.00234446560550889
"163","North Florida",18,18,"0.4630","221","0.4748","north-florida",31,0.00233714872248437
"191","Colgate",17,20,"0.4454","226","0.4734","colgate",32,0.00232657896058015
"162","Duquesne",30,21,"0.4633","90","0.5393","duquesne",30,0.00231369820725316
"221","Liberty",18,19,"0.4295","308","0.4438","liberty",32,0.00231011285586748
"200","Central Michigan",16,19,"0.4415","217","0.4758","central-michigan",30,0.00230876619888231
"212","Troy",18,20,"0.4363","238","0.4698","troy",33,0.00229925554471466
"173","Eastern Michigan",19,17,"0.4557","214","0.4770","eastern-michigan",31,0.00229629553186725
"214","Bethune-Cookman",18,19,"0.4348","298","0.4495","bethune-cookman",32,0.00229378472653129
"192","Miami (Ohio)",30,21,"0.4446","153","0.4976","miami-oh",30,0.00228710508444217
"154","Stetson",20,15,"0.4659","256","0.4615","stetson",30,0.00228584683123688
"180","North Texas",17,18,"0.4500","185","0.4863","north-texas",30,0.00228061546820143
"164","Fordham",29,23,"0.4629","80","0.5446","fordham",31,0.00226108964730871
"234","Seattle",29,21,"0.4156","207","0.4793","seattle",29,0.00225461690772755
"166","Portland",31,20,"0.4609","119","0.5239","portland",30,0.0022533095247053
"188","IPFW",20,16,"0.4493","310","0.4436","ipfw",29,0.00224688179959568
"207","Columbia",16,15,"0.4392","290","0.4534","columbia",26,0.00223643195215619
"159","North Dakota",20,15,"0.4646","285","0.4552","north-dakota",30,0.00222743463716535
"182","Cornell",18,17,"0.4497","265","0.4597","cornell",30,0.00222682974587008
"220","Hampton",20,16,"0.4312","330","0.4225","hampton",31,0.00222220789414881
"133","Central Connecticut State",19,16,"0.4788","193","0.4834","central-connecticut-state",30,0.00220732164130497
"198","Georgia Southern",18,18,"0.4417","294","0.4511","georgia-southern",31,0.00218903358117443
"210","Eastern Illinois",17,19,"0.4377","251","0.4634","eastern-illinois",31,0.00218592993081506
"190","Northern Colorado",17,17,"0.4454","274","0.4579","northern-colorado",29,0.0021819338978567
"211","American",16,19,"0.4370","232","0.4715","american",30,0.00217764856089665
"167","Ball State",20,14,"0.4590","284","0.4555","ball-state",29,0.00216129104386047
"253","Old Dominion",27,24,"0.4033","187","0.4856","old-dominion",30,0.00216080845807779
"224","St. Peter's",31,20,"0.4271","237","0.4700","saint-peters",30,0.00216039947143716
"225","Samford",16,20,"0.4260","275","0.4577","samford",31,0.00215290806143151
"229","Siena",30,23,"0.4207","197","0.4820","siena",32,0.002137936542201
"176","Brown",18,14,"0.4540","295","0.4510","brown",27,0.00212814020448137
"132","Cleveland State",17,17,"0.4791","132","0.5094","cleveland-state",29,0.00212772405959528
"189","Northern Arizona",17,20,"0.4457","222","0.4745","northern-arizona",32,0.00212547033395425
"255","Eastern Washington",16,20,"0.4021","320","0.4359","eastern-washington",31,0.00212330106369135
"75","Jacksonville State",21,2,"0.5145","205","0.4798","jacksonville-state",26,0.00212201609156846
"203","Delaware State",19,17,"0.4414","324","0.4330","delaware-state",31,0.00209493811308159
"199","Maine",16,18,"0.4417","246","0.4672","maine",29,0.0020933978556006
"215","Jacksonville",18,17,"0.4348","313","0.4409","jacksonville",30,0.00208527544521605
"230","Nicholls State",31,20,"0.4195","296","0.4508","nicholls-state",30,0.00208510129952027
"227","New Hampshire",30,19,"0.4250","242","0.4683","new-hampshire",28,0.00207458951847341
"201","Winthrop",17,16,"0.4415","263","0.4607","winthrop",28,0.00206536838597643
"193","Coastal Carolina",17,14,"0.4443","270","0.4583","coastal-carolina",26,0.00206510643460701
"259","Hofstra",28,24,"0.3966","219","0.4753","hofstra",31,0.00206200158336908
"187","Sacred Heart",31,19,"0.4494","165","0.4933","sacred-heart",29,0.00205658124777834
"223","Campbell",17,18,"0.4273","297","0.4500","campbell",30,0.00205626139918448
